工号,姓名,身份证号,民族,性别,出生年月,一级部门,二级部门,岗位,职级,参加工作时间,工龄,入职日期,司龄,劳动合同Base地,第一学历,第一学历院校,第一学历专业,最高学历,最高学历院校,最高学历专业,毕业学校,学历,合同到期日,婚育状态,现居地址,紧急联系人姓名,紧急联系人关系,紧急联系人电话,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2024盘点结果,2025盘点结果,最近一次调岗日期,最近一次晋升日期,状态,离职日期,离职原因
EMP0025,徐刚,310104197805090652,维吾尔族,男,1978-05-09,产融数字研究院,公共事务部,品牌公关,初级,2013-03-18,12.0,2020-01-12,5.2,广州,本科,中南财经政法大学,信息管理,硕士,清华大学,会计学,中南财经政法大学,本科,2022-12-27,已婚未育,广东省锦江区建国路979号14楼701室,赵英,子女,14815453069,A,A,A,A,A+,B,D,A+,A+,中绩效-高潜力,中绩效-高潜力,,,在职,,
EMP0026,杨明,110108198912241447,汉族,女,1989-12-24,财务管理部,业财一体化部,系统实施,中级,2017-05-12,7.8,2020-09-02,4.5,南京,硕士,西南财经大学,金融学,硕士,西南财经大学,金融学,西南财经大学,硕士,2023-08-18,已婚已育,广东省浦东新区中关村大街154号8楼1712室,李博,其他,15342166647,B,B,B,C,B,B,A,B,B,中绩效-中潜力,低绩效-低潜力,,,在职,,
EMP0027,赵英,310105200612220028,蒙古族,女,2006-12-22,产融数字研究院,专家智库部,高级顾问,中级,2016-11-09,8.3,2021-07-15,3.7,广州,硕士,清华大学,金融工程,硕士,清华大学,金融工程,清华大学,硕士,2025-06-24,未婚,江苏省西湖区建国路204号13楼826室,何艳,子女,18294228330,A+,B,D,A,A,B,B,C,C,中绩效-中潜力,低绩效-高潜力,,2025-09-03,在职,,
EMP0028,郭芳,110108198211050752,汉族,男,1982-11-05,产融数字研究院,专家智库部,知识管理,VP,2016-01-15,9.2,2019-12-20,5.2,成都,本科,北京交通大学,工商管理,本科,北京交通大学,工商管理,北京交通大学,本科,2020-12-14,已婚已育,广东省锦江区世纪大道802号20楼1824室,徐涛,兄弟姐妹,16161138840,A,A+,A+,B,D,A,B,A,D,中绩效-低潜力,中绩效-高潜力,2021-12-02,2024-08-29,在职,,
EMP0029,马华,310101200605057538,汉族,男,2006-05-05,董事会办公室,董事会办公室,董事长助理,初级,2014-07-26,10.6,2023-06-02,1.8,武汉,博士,厦门大学,数量经济学,博士,厦门大学,数量经济学,厦门大学,博士,2024-05-27,未婚,上海市江干区中关村大街488号21楼1463室,黄艳,配偶,14794263460,,A,A+,A,A,B,A,B,A+,中绩效-高潜力,中绩效-中潜力,,,在职,,
EMP0030,周怡,310105196805113588,汉族,女,1968-05-11,市场运营部,数字化营销部,内容运营,VP,2016-05-19,8.8,2023-05-25,1.8,武汉,本科,对外经济贸易大学,法学,本科,对外经济贸易大学,法学,对外经济贸易大学,本科,2026-05-09,已婚已育,上海市西湖区人民路91号24楼1024室,朱华,兄弟姐妹,13558194880,,B,A,B,B,C,D,B,A+,中绩效-低潜力,中绩效-高潜力,,,在职,,
EMP0031,高峰,110107197203193648,回族,女,1972-03-19,董事会办公室,董事会办公室,董事会事务专员,初级,2012-06-21,12.7,2020-06-07,4.8,杭州,大专,中南财经政法大学,工商企业管理,大专,中南财经政法大学,工商企业管理,中南财经政法大学,大专,2024-05-17,离异,北京市玄武区建国路369号14楼1249室,杨怡,子女,18712936791,A+,C,A,A+,D,B,A,A,A,中绩效-中潜力,高绩效-低潜力,,,在职,,
EMP0032,何博,110106198607023811,汉族,男,1986-07-02,财务管理部,预算管理部,资金管理,中级,2012-09-15,12.5,2022-04-22,2.9,广州,本科,武汉大学,人力资源管理,本科,武汉大学,人力资源管理,武汉大学,本科,2027-03-27,已婚未育,广东省朝阳区人民路2号26楼621室,徐浩,父母,19228019796,A+,B,B,B,A,B,D,A+,D,中绩效-高潜力,低绩效-中潜力,,2025-12-28,在职,,
EMP0033,胡晨,110106200705233820,汉族,女,2007-05-23,财务管理部,业财一体化部,流程优化,VP,2021-03-21,4.0,2023-06-10,1.8,北京,本科,对外经济贸易大学,法学,本科,对外经济贸易大学,法学,对外经济贸易大学,本科,2027-05-20,未婚,浙江省玄武区解放路242号23楼72室,林秀英,兄弟姐妹,14363929842,,B,A,A+,B,C,C,A,A+,中绩效-高潜力,低绩效-中潜力,2026-05-29,,在职,,
EMP0034,王婷,310101198108156762,回族,女,1981-08-15,市场运营部,数字化营销部,内容运营,VP,2018-03-27,7.0,2024-04-20,0.9,成都,大专,对外经济贸易大学,电子商务,大专,对外经济贸易大学,电子商务,对外经济贸易大学,大专,2029-03-25,离异,北京市江干区人民路921号26楼177室,赵艳,其他,16711619815,,,,,,B,B,A+,B,中绩效-中潜力,中绩效-高潜力,,,在职,,
EMP0035,郭磊,110108199908074839,汉族,男,1999-08-07,财务管理部,业财一体化部,业财经理,VP,2017-02-05,8.1,2024-01-24,1.1,南京,本科,清华大学,法学,本科,清华大学,法学,清华大学,本科,2026-01-13,已婚已育,北京市海淀区建国路626号30楼1940室,王雨,父母,15217570575,,,,,,B,A,B,B,中绩效-低潜力,中绩效-低潜力,,,在职,,
EMP0036,胡明,440103197402218650,维吾尔族,男,1974-02-21,产融数字研究院,专家智库部,咨询顾问,高级,2018-10-25,6.4,2023-01-01,2.2,上海,本科,中山大学,工商管理,本科,中山大学,工商管理,中山大学,本科,2027-12-06,离异,浙江省徐汇区中关村大街331号20楼370室,何静,配偶,14869604880,,A+,B,B,B,A,B,A,C,中绩效-低潜力,低绩效-中潜力,,,在职,,
EMP0037,郭芬,110106199611262895,汉族,男,1996-11-26,财务管理部,财税管理部,财税总监,总监,2015-01-27,10.1,2022-03-03,3.0,成都,硕士,厦门大学,计算机技术,硕士,厦门大学,计算机技术,厦门大学,硕士,2023-02-26,已婚已育,四川省锦江区中关村大街581号24楼356室,赵欣,其他,13465575400,B,B,D,A,A+,A+,C,D,B,中绩效-高潜力,中绩效-低潜力,,,在职,,
EMP0038,何梅,110107200504099510,汉族,男,2005-04-09,产融数字研究院,公共事务部,政府关系,专家,2016-12-14,8.2,2018-10-25,6.4,广州,本科,厦门大学,法学,本科,厦门大学,法学,厦门大学,本科,2019-10-20,未婚,四川省武侯区人民路547号17楼421室,朱娜,子女,13236540564,A,A,B,A+,D,B,A,B,B,中绩效-高潜力,高绩效-高潜力,,,在职,,
EMP0039,陈思,310105200702040397,汉族,男,2007-02-04,市场运营部,数字化营销部,营销总监,中级,2017-12-07,7.3,2022-02-07,3.1,北京,大专,北京交通大学,财务管理,大专,北京交通大学,财务管理,北京交通大学,大专,2027-01-12,未婚,北京市锦江区建国路794号10楼1414室,周娜,配偶,15901092185,B,A,A+,B,B,A+,B,C,A+,中绩效-高潜力,中绩效-高潜力,,2025-11-05,在职,,
EMP0040,杨晨,110108199412186650,满族,男,1994-12-18,财务管理部,业财一体化部,财务BA,总监,2016-02-09,9.1,2019-07-10,5.7,北京,本科,东北财经大学,金融学,本科,东北财经大学,金融学,东北财经大学,本科,2024-06-13,未婚,四川省海淀区建国路24号5楼119室,黄娜,配偶,13275596425,B,B,A+,B,B,B,B,D,C,低绩效-中潜力,低绩效-低潜力,,,在职,,
EMP0041,林超,44010419910719740X,汉族,女,1991-07-19,市场运营部,运营管理部,运营数据分析,VP,2013-10-15,11.4,2020-11-19,4.3,上海,本科,中山大学,人力资源管理,本科,中山大学,人力资源管理,中山大学,本科,2023-11-04,未婚,江苏省徐汇区解放路865号26楼656室,周丽,配偶,16947471200,C,C,D,B,B,A+,B,A,C,低绩效-低潜力,中绩效-高潜力,,,在职,,
EMP0042,朱明,110101196705261310,汉族,男,1967-05-26,市场运营部,数字化营销部,内容运营,高级,2013-06-26,11.7,2023-04-02,2.0,武汉,硕士,浙江大学,金融工程,硕士,浙江大学,金融工程,浙江大学,硕士,2025-03-22,已婚未育,四川省玄武区解放路858号22楼1665室,罗平,其他,15708844388,,B,B,A,D,B,B,B,A+,中绩效-高潜力,高绩效-低潜力,2024-07-14,,在职,,
EMP0043,徐博,310105197708118234,回族,男,1977-08-11,产融数字研究院,专家智库部,首席专家,中级,2017-06-21,7.7,2021-01-19,4.2,杭州,大专,武汉大学,会计学,大专,武汉大学,会计学,武汉大学,大专,2025-12-24,离异,广东省武侯区建国路162号21楼275室,孙燕,兄弟姐妹,18874221113,A+,A,C,B,B,D,B,B,C,低绩效-中潜力,中绩效-高潜力,2023-11-20,2023-09-11,在职,,
EMP0044,周博,440103199811048110,蒙古族,男,1998-11-04,董事会办公室,董事会办公室,董事长助理,VP,2018-05-09,6.9,2020-06-26,4.7,北京,本科,北京大学,工商管理,硕士,哈尔滨工业大学,应用统计学,北京大学,本科,2024-06-05,已婚已育,上海市玄武区世纪大道77号18楼117室,朱婷,父母,15320779749,B,B,A,C,B,B,C,B,B,低绩效-高潜力,低绩效-中潜力,2023-02-13,2023-03-06,在职,,
EMP0045,林浩,110106200704287413,汉族,男,2007-04-28,财务管理部,业财一体化部,流程优化,初级,2013-04-04,11.9,2022-06-03,2.8,武汉,博士,南京大学,会计学,博士,中国人民大学,金融学,南京大学,博士,2025-05-18,未婚,北京市江干区世纪大道142号5楼568室,郭晨,子女,15176444871,C,D,A,B,B,B,C,C,D,低绩效-中潜力,中绩效-低潜力,,,在职,,
EMP0046,周雨,310104196512237839,汉族,男,1965-12-23,市场运营部,数字化营销部,数字营销经理,中级,2014-01-18,11.2,2019-06-25,5.7,北京,硕士,西南财经大学,金融学,硕士,厦门大学,经济学,西南财经大学,硕士,2024-05-28,已婚未育,江苏省西湖区人民路82号13楼1854室,孙磊,配偶,15909743947,A,A,A+,B,D,A,D,B,C,中绩效-低潜力,高绩效-中潜力,2021-03-22,,在职,,
EMP0047,高燕,110105200402015416,汉族,男,2004-02-01,财务管理部,预算管理部,预算专员,VP,2015-03-17,10.0,2020-11-15,4.3,上海,大专,上海财经大学,财务管理,大专,上海财经大学,财务管理,上海财经大学,大专,2023-10-28,未婚,四川省西湖区解放路479号3楼758室,杨兰,父母,14142704730,B,B,A+,C,D,D,C,D,A,低绩效-低潜力,中绩效-中潜力,,2023-11-05,在职,,
EMP0048,罗婷,310101198406183750,满族,男,1984-06-18,财务管理部,预算管理部,预算专员,中级,2014-12-20,10.2,2024-06-25,0.7,杭州,大专,同济大学,工商企业管理,大专,同济大学,工商企业管理,同济大学,大专,2025-06-20,已婚已育,浙江省武侯区世纪大道17号2楼1440室,林秀英,兄弟姐妹,16734060960,,,,,,C,A,B,B,中绩效-高潜力,中绩效-高潜力,,,在职,,
EMP0049,高佳,110109198001163659,汉族,男,1980-01-16,董事会办公室,董事会办公室,董事会事务专员,高级,2021-12-02,3.3,2022-11-25,2.3,武汉,硕士,哈尔滨工业大学,金融工程,硕士,武汉大学,金融工程,哈尔滨工业大学,硕士,2024-11-14,已婚已育,四川省天河区解放路993号15楼1453室,马婷,父母,17311791226,B,B,A,B,D,D,A,A,C,低绩效-高潜力,低绩效-高潜力,,,在职,,
EMP0050,朱明,110109200503117580,汉族,女,2005-03-11,董事会办公室,董事会办公室,董事长助理,高级,2010-05-14,14.8,2018-04-19,6.9,杭州,本科,清华大学,会计学,本科,清华大学,会计学,清华大学,本科,2022-03-28,未婚,江苏省天河区人民路241号9楼1719室,王平,配偶,13870517386,D,A,B,A+,B,A+,B,B,B,中绩效-低潜力,低绩效-高潜力,,,在职,,
EMP0051,高慧,310104198108160891,维吾尔族,男,1981-08-16,市场运营部,数字化营销部,营销总监,中级,2018-03-03,7.0,2025-07-19,-0.3,杭州,本科,厦门大学,新闻学,本科,厦门大学,新闻学,厦门大学,本科,2026-07-14,已婚已育,四川省武侯区解放路296号9楼803室,陈娜,其他,15569535971,,,,,,,,,,低绩效-中潜力,低绩效-中潜力,2027-09-06,,在职,,
EMP0052,胡博,440104197508285364,汉族,女,1975-08-28,产融数字研究院,公共事务部,活动策划,初级,2015-02-13,10.1,2024-04-25,0.9,北京,硕士,北京航空航天大学,会计学,硕士,北京航空航天大学,会计学,北京航空航天大学,硕士,2029-03-28,离异,浙江省海淀区中关村大街32号26楼1384室,何芳,兄弟姐妹,15422286569,,,,,,B,B,B,B,中绩效-高潜力,中绩效-低潜力,,2029-02-02,在职,,
EMP0053,徐宇,310101199106041325,汉族,女,1991-06-04,市场运营部,运营管理部,客户运营,专家,2021-04-11,3.9,2022-11-16,2.3,广州,本科,北京大学,法学,硕士,中央财经大学,法律硕士,北京大学,本科,2025-10-28,未婚,广东省朝阳区建国路480号27楼829室,胡华,兄弟姐妹,14912535010,C,C,B,A,B,B,A,D,A,低绩效-低潜力,低绩效-高潜力,,,离职,2024-01-16,职业发展
EMP0054,张峰,110105200005033792,蒙古族,男,2000-05-03,产融数字研究院,专家智库部,高级顾问,专家,2010-12-11,14.3,2019-07-12,5.7,南京,本科,中南财经政法大学,金融学,本科,中南财经政法大学,金融学,中南财经政法大学,本科,2024-06-15,未婚,广东省西湖区中关村大街432号23楼1136室,黄浩,子女,16733007829,A,B,B,B,A+,B,B,A+,B,中绩效-低潜力,中绩效-高潜力,,,在职,,
EMP0055,林刚,440104198702156608,汉族,女,1987-02-15,财务管理部,财税管理部,税务经理,专家,2017-08-25,7.6,2020-01-03,5.2,深圳,本科,西南财经大学,信息管理,本科,西南财经大学,信息管理,西南财经大学,本科,2024-12-07,离异,浙江省武侯区人民路579号28楼277室,朱杰,其他,17690761665,C,C,A,A,B,A,A,D,B,中绩效-高潜力,高绩效-低潜力,,,在职,,
EMP0056,刘文,110109198506185685,汉族,女,1985-06-18,财务管理部,预算管理部,预算专员,中级,2019-01-01,6.2,2021-04-19,3.9,杭州,本科,南京大学,工商管理,本科,南京大学,工商管理,南京大学,本科,2022-04-14,离异,北京市锦江区中关村大街117号18楼1198室,林芳,配偶,14958949976,B,A+,A,A+,B,A,D,C,A,中绩效-中潜力,高绩效-低潜力,,2025-06-23,在职,,
EMP0057,王媛,310101200611119512,壮族,男,2006-11-11,产融数字研究院,公共事务部,政府关系,中级,2018-06-07,6.8,2021-09-28,3.5,南京,大专,西南财经大学,电子商务,硕士,北京理工大学,应用统计学,西南财经大学,大专,2023-09-18,未婚,北京市徐汇区解放路796号1楼1891室,王明,父母,17778738337,C,A,C,A,B,A,A+,C,A,中绩效-低潜力,高绩效-中潜力,2023-12-31,,在职,,
EMP0058,赵军,310105198312013078,维吾尔族,男,1983-12-01,产融数字研究院,专家智库部,首席专家,VP,2019-05-06,5.9,2024-06-14,0.8,广州,大专,东北财经大学,工商企业管理,大专,东北财经大学,工商企业管理,东北财经大学,大专,2026-06-04,已婚未育,浙江省武侯区人民路842号7楼947室,罗龙,配偶,13219770855,,,,,,C,A,B,B,中绩效-高潜力,高绩效-低潜力,,,在职,,
EMP0059,刘博,110105198011259755,汉族,男,1980-11-25,财务管理部,财税管理部,税务经理,高级,2018-09-20,6.5,2024-09-07,0.5,杭州,硕士,上海财经大学,经济学,硕士,上海财经大学,经济学,上海财经大学,硕士,2029-08-12,离异,上海市江干区人民路967号12楼1652室,胡博,其他,14682547402,,,,,,B,A,D,A+,中绩效-中潜力,中绩效-低潜力,,,在职,,
EMP0060,孙欣,110101198305116519,汉族,男,1983-05-11,产融数字研究院,专家智库部,咨询顾问,中级,2017-11-04,7.4,2023-09-04,1.5,成都,硕士,北京交通大学,会计学,硕士,北京交通大学,会计学,北京交通大学,硕士,2026-08-19,已婚已育,浙江省玄武区世纪大道439号7楼1030室,林艳,其他,13371672844,,B,A,B,A,A+,A+,A+,A,中绩效-高潜力,高绩效-中潜力,,,在职,,
EMP0061,徐欣,110101199301084446,汉族,女,1993-01-08,董事会办公室,董事会办公室,董事会事务专员,初级,2018-11-27,6.3,2022-05-24,2.8,北京,硕士,厦门大学,法律硕士,硕士,厦门大学,法律硕士,厦门大学,硕士,2027-04-28,未婚,浙江省江干区世纪大道136号1楼1435室,朱欣,兄弟姐妹,15929281381,B,A,B,B,A,B,A,A,D,中绩效-高潜力,低绩效-低潜力,,,在职,,
EMP0062,马兰,110109199803117974,汉族,男,1998-03-11,市场运营部,数字化营销部,营销总监,中级,2016-04-22,8.9,2021-10-16,3.4,杭州,硕士,同济大学,工商管理MBA,硕士,中国人民大学,金融工程,同济大学,硕士,2022-10-11,已婚已育,北京市海淀区中关村大街903号6楼1266室,郭秀英,配偶,18154049821,B,A,B,B,D,D,B,C,B,低绩效-中潜力,低绩效-中潜力,,,在职,,
EMP0063,吴欣,110107200003062269,汉族,女,2000-03-06,市场运营部,运营管理部,供应链运营,初级,2011-05-18,13.8,2020-08-26,4.6,深圳,本科,厦门大学,国际贸易,本科,厦门大学,国际贸易,厦门大学,本科,2021-08-21,已婚未育,四川省朝阳区中关村大街901号2楼1938室,胡怡,父母,13154018488,D,D,D,A,D,B,C,B,B,低绩效-低潜力,低绩效-中潜力,,,离职,2025-11-25,家庭原因
EMP0064,马斌,110105199806216059,汉族,男,1998-06-21,市场运营部,运营管理部,运营专员,中级,2023-05-26,1.8,2024-06-21,0.7,杭州,本科,哈尔滨工业大学,国际贸易,本科,哈尔滨工业大学,国际贸易,哈尔滨工业大学,本科,2026-06-11,已婚未育,四川省锦江区中关村大街500号10楼1320室,王慧,父母,14815581451,,,,,,A,B,C,A,中绩效-中潜力,中绩效-低潜力,,2026-10-06,在职,,
